Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Profile,Source_Folder,Source_File
Avg_Fold_Precision,1.5,3.0,0.907775553442437,FALSE,,0.9078,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,3.5,0.8928024083196497,FALSE,,0.8928,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,2.0,0.9104410470946508,FALSE,,0.9104,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,2.5,0.8594923621460506,FALSE,,0.8595,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,3.0,0.8382179981269043,FALSE,,0.8382,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,3.5,0.794281136689434,FALSE,,0.7943,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,2.0,0.9292656641604008,TRUE,,0.9293,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,2.5,0.94352200259321,TRUE,,0.9435,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,3.0,0.8986641303495986,TRUE,,0.8987,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,3.5,0.916359731597557,TRUE,,0.9164,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,2.0,0.9051146010186756,TRUE,,0.9051,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,2.5,0.904849040163132,TRUE,,0.9048,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,3.0,0.8955262274742708,TRUE,,0.8955,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,3.5,0.8037859595492804,TRUE,,0.8038,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,2.0,0.906039516353608,TRUE,,0.9060,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,2.5,0.8765652344260154,TRUE,,0.8766,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,3.0,0.8303179238560595,TRUE,,0.8303,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,3.5,0.787295987594495,TRUE,,0.7873,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,2.0,0.9731301939058172,FALSE,,0.9731,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,2.5,0.9723299476762082,FALSE,,0.9723,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,3.0,0.971037242228378,FALSE,,0.9710,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,3.5,0.9619575253924284,FALSE,,0.9620,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,2.0,0.9712219144352108,FALSE,,0.9712,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,2.5,0.9732225300092336,FALSE,,0.9732,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,3.0,0.9761465066174206,FALSE,,0.9761,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,3.5,0.9665743305632502,FALSE,,0.9666,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,2.0,0.9744228993536472,FALSE,,0.9744,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,2.5,0.9700215450907972,FALSE,,0.9700,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,3.0,0.970052323791936,FALSE,,0.9701,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,3.5,0.966789781471222,FALSE,,0.9668,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,2.0,0.971191135734072,TRUE,,0.9712,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,2.5,0.9692520775623268,TRUE,,0.9693,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,3.0,0.9664819944598338,TRUE,,0.9665,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,3.5,0.9690058479532164,TRUE,,0.9690,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,2.0,0.9760233918128656,TRUE,,0.9760,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,2.5,0.9717143736534318,TRUE,,0.9717,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,3.0,0.97331486611265,TRUE,,0.9733,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,3.5,0.967897814712219,TRUE,,0.9679,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,2.0,0.975438596491228,TRUE,,0.9754,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,2.5,0.9650046168051708,TRUE,,0.9650,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,3.0,0.9714065866420436,TRUE,,0.9714,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,3.5,0.9667590027700832,TRUE,,0.9668,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_Recall,1.0,2.0,0.8912280701754387,FALSE,,0.8912,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_Recall,1.0,2.5,0.887719298245614,FALSE,,0.8877,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_Recall,1.0,3.0,0.9192982456140352,FALSE,,0.9193,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_Recall,1.0,3.5,0.9228070175438596,FALSE,,0.9228,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_Recall,1.5,2.0,0.9403508771929824,FALSE,,0.9404,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Avg_Fold_Recall,1.5,2.5,0.9263157894736842,FALSE,,0.9263,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Avg_Fold_Recall,1.5,3.0,0.9403508771929824,FALSE,,0.9404,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
