Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted
Precision(+),1.5,2.0,0.9051,TRUE,0.0558,0.9051 ± 0.0558
Precision(+),2.0,2.0,0.9060,TRUE,0.0389,0.9060 ± 0.0389
Precision(+),1.0,2.5,0.9435,TRUE,0.0272,0.9435 ± 0.0272
Precision(+),1.5,2.5,0.9048,TRUE,0.0485,0.9048 ± 0.0485
Precision(+),2.0,2.5,0.9048,TRUE,0.0485,0.9048 ± 0.0485
Precision(+),1.0,3.0,0.8987,TRUE,0.0521,0.8987 ± 0.0521
Precision(+),1.5,3.0,0.8955,TRUE,0.0425,0.8955 ± 0.0425
Precision(+),2.0,3.0,0.8303,TRUE,0.0602,0.8303 ± 0.0602
Precision(+),1.0,3.5,0.9164,TRUE,0.0436,0.9164 ± 0.0436
Precision(+),1.5,3.5,0.8038,TRUE,0.1026,0.8038 ± 0.1026
Precision(+),2.0,3.5,0.7873,TRUE,0.1099,0.7873 ± 0.1099
Recall(-),1.0,2.0,0.9509,FALSE,0.0229,0.9509 ± 0.0229
Recall(-),1.5,2.0,0.9018,FALSE,0.0294,0.9018 ± 0.0294
Recall(-),2.0,2.0,0.9053,FALSE,0.0590,0.9053 ± 0.0590
Recall(-),1.0,2.5,0.9228,FALSE,0.0505,0.9228 ± 0.0505
Recall(-),1.5,2.5,0.9018,FALSE,0.0319,0.9018 ± 0.0319
Recall(-),2.0,2.5,0.8421,FALSE,0.0595,0.8421 ± 0.0595
Recall(-),1.0,3.0,0.9088,FALSE,0.0625,0.9088 ± 0.0625
Recall(-),1.5,3.0,0.9018,FALSE,0.0505,0.9018 ± 0.0505
Recall(-),2.0,3.0,0.8105,FALSE,0.0872,0.8105 ± 0.0872
Recall(-),1.0,3.5,0.8737,FALSE,0.0637,0.8737 ± 0.0637
Recall(-),1.5,3.5,0.8877,FALSE,0.0404,0.8877 ± 0.0404
Recall(-),2.0,3.5,0.7298,FALSE,0.1783,0.7298 ± 0.1783
Recall(-),1.0,2.0,0.9298,TRUE,0.0430,0.9298 ± 0.0430
Recall(-),1.5,2.0,0.8982,TRUE,0.0673,0.8982 ± 0.0673
Recall(-),2.0,2.0,0.9018,TRUE,0.0457,0.9018 ± 0.0457
Recall(-),1.0,2.5,0.9474,TRUE,0.0277,0.9474 ± 0.0277
Recall(-),1.5,2.5,0.8982,TRUE,0.0600,0.8982 ± 0.0600
Recall(-),2.0,2.5,0.8982,TRUE,0.0600,0.8982 ± 0.0600
Recall(-),1.0,3.0,0.8912,TRUE,0.0600,0.8912 ± 0.0600
Recall(-),1.5,3.0,0.8877,TRUE,0.0505,0.8877 ± 0.0505
Recall(-),2.0,3.0,0.7965,TRUE,0.0900,0.7965 ± 0.0900
Recall(-),1.0,3.5,0.9123,TRUE,0.0526,0.9123 ± 0.0526
Recall(-),1.5,3.5,0.7474,TRUE,0.1572,0.7474 ± 0.1572
